,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
Iso_3_1598,357,105,190,69,33,43,203,229,97,158
Iso_3_1599,23,38,18,15,6,20,20,9,22,26
Iso_3_1600,137,85,81,111,54,77,66,162,60,58
Iso_3_1601,257,326,64,173,448,326,386,256,538,459
Iso_3_1602,159,193,249,183,183,147,208,123,126,136
Iso_3_1603,85,86,157,126,213,100,101,113,94,129
Iso_3_1604,254,265,147,241,363,199,217,346,464,315
Iso_3_1605,778,614,633,639,812,533,607,852,619,603
Iso_3_1606,38,51,23,18,34,19,36,78,16,26
Iso_3_1607,190,251,304,101,101,134,134,107,350,51
Iso_3_1608,1,6,7,5,4,0,8,6,1,2
Iso_3_1609,48,91,37,46,15,28,94,30,55,59
Iso_3_1610,24,21,36,37,24,8,31,15,13,28
Iso_3_1611,51,32,88,40,87,97,137,45,39,91
Iso_3_1612,47,43,38,23,37,15,45,15,14,17
Iso_3_1613,21,45,38,33,52,35,11,36,51,27
Iso_3_1614,305,200,194,196,208,303,299,241,391,378
Iso_3_1615,441,652,393,668,435,204,437,463,401,322
Iso_3_1616,108,18,130,49,64,49,62,162,134,62
Iso_3_1617,12,7,87,9,36,33,26,14,66,42
Iso_3_1618,132,163,168,152,163,208,255,199,117,175
Iso_3_1619,762,651,758,544,560,642,653,705,581,732
Iso_3_1620,107,18,103,37,95,26,163,144,39,11
Iso_3_1621,133,49,96,31,199,24,58,43,62,4
Iso_3_1622,270,185,324,138,203,189,213,259,278,171
Iso_3_1623,29,8,16,11,15,17,21,7,20,12
Iso_3_1624,566,522,519,675,504,507,512,625,288,268
Iso_3_1625,527,402,408,366,537,495,296,317,514,615
Iso_3_1626,62,166,31,81,48,24,90,57,31,7
Iso_3_1627,341,339,423,301,256,231,448,391,284,405
Iso_3_1628,266,238,416,438,265,199,235,339,404,395
Iso_3_1629,1,0,3,0,0,1,1,1,0,5
Iso_3_1630,2,7,3,35,16,28,15,5,2,12
Iso_3_1631,53,102,45,147,34,142,107,11,8,103
Iso_3_1632,182,120,212,72,126,223,91,171,131,130
Iso_3_1633,168,230,139,205,121,211,199,163,227,173
Iso_3_1634,66,105,87,109,188,1,62,7,42,26
Iso_3_1635,3,43,0,9,2,11,8,5,10,11
Iso_3_1636,7,8,22,0,18,17,6,108,15,18
Iso_3_1637,204,167,192,169,206,210,156,248,133,188
Iso_3_1638,16,6,9,4,6,8,19,12,8,10
Iso_3_1639,1054,1814,725,1652,1503,991,1430,1044,1528,1428
Iso_3_1640,61,54,32,51,41,42,64,62,52,28
Iso_3_1641,570,701,514,579,938,493,441,582,743,787
Iso_3_1642,198,193,157,141,165,107,201,143,174,146
Iso_3_1643,17,4,14,11,32,14,13,4,31,21
Iso_3_1644,126,197,86,114,124,194,132,94,106,86
Iso_3_1645,9,6,6,4,11,4,8,5,7,6
Iso_3_1646,15,2,2,11,17,4,0,5,9,25
Iso_3_1647,158,198,130,238,123,306,144,252,274,337
Iso_3_1648,187,226,197,169,163,295,189,215,186,175
Iso_3_1649,427,300,372,285,231,249,379,271,380,369
Iso_3_1650,255,218,240,164,212,205,256,135,139,183
Iso_3_1651,572,587,363,734,564,628,924,605,593,579
Iso_3_1652,2,10,1,7,9,6,9,4,23,5
Iso_3_1653,32,10,19,49,54,60,91,1,12,156
Iso_3_1654,356,616,357,216,410,161,453,145,457,339
Iso_3_1655,170,216,110,146,136,98,199,144,85,115
Iso_3_1656,7,31,24,26,6,8,16,53,30,80
Iso_3_1657,6,10,5,5,5,10,13,10,7,10
Iso_3_1658,5,1,5,3,1,3,5,6,7,7
Iso_3_1659,116,49,170,172,63,43,50,107,119,87
Iso_3_1660,316,486,381,418,382,308,566,357,387,484
Iso_3_1661,170,5,69,269,147,141,62,17,169,108
Iso_3_1662,780,508,513,517,617,280,656,528,525,607
Iso_3_1663,6,0,4,1,2,0,1,0,4,1
Iso_3_1664,823,989,1047,956,1002,662,1098,856,898,670
Iso_3_1665,618,540,429,472,343,472,338,539,498,255
Iso_3_1666,133,295,79,167,103,46,58,76,73,187
Iso_3_1667,1295,426,670,1256,1365,716,675,1335,564,1320
Iso_3_1668,35,135,83,57,237,35,7,66,95,35
Iso_3_1669,6,11,2,0,11,6,14,2,1,3
Iso_3_1670,159,43,109,99,109,171,106,312,60,29
Iso_3_1671,359,288,626,236,458,527,420,383,371,317
Iso_3_1672,5,15,1,21,9,20,8,44,44,1
Iso_3_1673,249,215,185,176,237,280,132,196,222,359
Iso_3_1674,166,77,116,99,247,121,91,85,103,155
Iso_3_1675,205,187,225,390,147,162,114,179,359,201
Iso_3_1676,808,661,871,801,569,873,589,674,570,715
Iso_3_1677,342,491,482,397,528,533,512,544,401,482
Iso_3_1678,18,18,13,4,1,13,23,22,3,17
Iso_3_1679,482,123,507,242,405,238,606,235,376,387
Iso_3_1680,549,492,545,533,463,283,451,506,334,389
Iso_3_1681,54,137,58,85,95,124,104,53,99,117
Iso_3_1682,38,63,35,60,46,45,53,39,58,29
Iso_3_1683,3,29,10,24,2,12,15,12,7,3
Iso_3_1684,115,113,167,164,88,118,99,145,87,152
Iso_3_1685,4,3,0,8,1,1,8,2,0,7
Iso_3_1686,83,57,141,25,78,146,102,51,135,68
Iso_3_1687,1286,1683,2535,1508,1755,1636,2461,1470,1437,1896
Iso_3_1688,64,47,48,61,48,73,36,44,33,56
Iso_3_1689,7,7,4,0,4,1,9,6,4,2
Iso_3_1690,48,70,54,21,49,88,115,38,16,65
Iso_3_1691,845,659,843,785,561,944,873,527,609,806
Iso_3_1692,222,243,258,333,444,245,340,248,286,149
Iso_3_1693,11,15,0,10,7,5,8,10,0,10
Iso_3_1694,73,49,98,71,151,80,77,62,117,79
Iso_3_1695,347,95,75,97,215,174,46,129,18,48
Iso_3_1696,1,1,0,1,1,0,2,1,1,2
Iso_3_1697,21,18,10,8,12,47,16,9,22,10
Iso_3_1698,15,62,86,61,45,43,51,60,45,79
Iso_3_1699,3,1,2,1,4,3,3,3,2,1
Iso_3_1700,19,16,10,15,14,25,19,25,13,24
Iso_3_1701,18,6,11,21,21,20,35,20,17,15
Iso_3_1702,126,53,29,9,7,20,18,30,19,137
Iso_3_1703,655,420,410,500,453,568,632,502,462,536
Iso_3_1704,24,87,46,87,29,8,34,4,26,1
Iso_3_1705,263,310,354,390,395,230,194,300,344,268
Iso_3_1706,210,315,282,325,360,335,334,357,399,227
Iso_3_1707,112,130,119,62,140,18,66,135,266,296
Iso_3_1708,188,269,205,190,132,118,199,175,187,123
Iso_3_1709,76,106,191,218,211,253,113,72,90,214
Iso_3_1710,95,70,72,104,81,52,79,59,104,119
Iso_3_1711,134,239,221,190,167,227,185,166,135,230
Iso_3_1712,267,131,125,140,255,173,92,204,201,256
Iso_3_1713,176,184,141,163,82,153,236,163,122,108
Iso_3_1714,52,65,34,26,32,29,37,40,15,26
Iso_3_1715,49,63,49,48,45,49,48,48,44,40
Iso_3_1716,12,23,19,33,9,18,24,54,23,51
Iso_3_1717,137,126,146,147,125,62,223,109,70,140
Iso_3_1718,181,41,20,61,58,21,66,29,22,105
Iso_3_1719,21,19,6,7,8,13,28,14,13,5
Iso_3_1720,1,7,3,2,4,5,0,6,1,1
Iso_3_1721,688,631,893,559,765,1026,777,772,606,920
Iso_3_1722,1001,1719,1013,1335,1793,687,898,1875,410,1200
Iso_3_1723,783,1057,560,721,590,1456,511,477,161,495
Iso_3_1724,364,314,215,138,333,361,195,355,245,293
Iso_3_1725,61,221,95,43,70,43,1,119,5,102
Iso_3_1726,246,303,480,311,409,265,334,421,245,486
Iso_3_1727,8,1,11,3,3,9,1,11,8,9
Iso_3_1728,1,4,4,6,0,6,15,7,4,5
Iso_3_1729,129,159,142,154,149,162,40,103,169,158
Iso_3_1730,7,7,0,3,7,3,2,2,9,1
Iso_3_1731,90,82,85,140,127,99,105,139,57,101
Iso_3_1732,126,226,188,220,205,192,160,283,155,226
Iso_3_1733,8,45,53,34,41,45,74,47,35,53
Iso_3_1734,375,175,122,224,100,187,190,38,236,74
Iso_3_1735,10,12,21,11,2,12,3,8,10,18
Iso_3_1736,42,43,99,25,87,55,117,66,168,89
Iso_3_1737,478,526,587,595,562,833,618,652,436,531
Iso_3_1738,135,149,1,64,47,46,480,300,248,149
Iso_3_1739,469,206,249,187,165,98,248,408,212,35
Iso_3_1740,222,289,192,238,329,257,184,267,258,376
Iso_3_1741,446,409,189,304,265,398,291,216,413,433
Iso_3_1742,61,58,47,82,44,77,45,41,36,16
Iso_3_1743,2,0,0,0,0,0,0,2,1,0
Iso_3_1744,22,45,15,44,38,82,37,17,27,29
Iso_3_1745,132,279,272,306,320,232,161,349,449,344
Iso_3_1746,644,326,524,543,261,148,415,395,443,229
Iso_3_1747,516,729,287,437,254,141,418,199,479,543
Iso_3_1748,225,112,249,72,90,69,169,69,47,190
Iso_3_1749,21,13,5,8,8,15,5,19,20,10
Iso_3_1750,36,23,25,19,14,27,32,27,14,27
Iso_3_1751,159,241,218,211,155,297,127,66,45,158
Iso_3_1752,24,27,20,29,20,35,24,25,23,25
Iso_3_1753,24,41,11,67,63,18,20,20,32,44
Iso_3_1754,37,57,42,64,77,42,47,70,48,50
Iso_3_1755,285,162,118,191,255,79,257,174,186,199
Iso_3_1756,186,85,66,253,146,128,22,161,129,103
Iso_3_1757,100,148,138,98,145,145,156,153,144,92
Iso_3_1758,283,292,174,285,205,310,182,294,218,351
Iso_3_1759,130,153,122,56,83,64,43,88,95,101
Iso_3_1760,56,10,46,42,52,33,68,20,45,125
Iso_3_1761,69,67,84,22,40,133,32,32,33,37
Iso_3_1762,162,127,284,254,258,215,236,158,224,197
Iso_3_1763,5,6,5,2,1,6,1,4,4,1
Iso_3_1764,3,33,17,29,38,27,35,65,18,36
Iso_3_1765,1324,1417,1261,1121,1363,1709,1035,1044,1355,1142
Iso_3_1766,140,276,122,497,312,113,223,495,554,163
Iso_3_1767,55,32,85,71,41,147,95,113,109,74
Iso_3_1768,32,38,29,35,41,64,46,22,43,50
Iso_3_1769,37,46,65,74,46,69,53,51,58,40
Iso_3_1770,222,83,62,10,140,83,68,109,180,12
Iso_3_1771,87,33,53,38,72,67,118,33,34,89
Iso_3_1772,111,255,349,260,307,428,603,182,306,168
Iso_3_1773,4274,1988,2716,2812,2610,2409,2660,1665,3555,3458
Iso_3_1774,4,26,23,18,19,23,3,14,13,36
Iso_3_1775,101,217,195,95,145,192,181,231,224,214
Iso_3_1776,1,0,0,0,1,1,1,0,2,2
Iso_3_1777,48,62,30,28,100,66,51,13,19,62
Iso_3_1778,465,442,396,328,497,431,447,459,436,613
Iso_3_1779,95,8,2,28,19,52,53,20,9,4
Iso_3_1780,29,26,25,22,25,39,22,9,23,14
Iso_3_1781,341,450,318,479,469,484,714,392,391,445
Iso_3_1782,140,201,78,117,246,129,69,144,253,248
Iso_3_1783,1215,808,985,1546,1206,1445,1572,593,1423,1214
Iso_3_1784,1137,1893,1449,1191,1053,1274,1126,1641,970,1456
Iso_3_1785,706,790,403,478,427,693,668,734,824,502
Iso_3_1786,324,278,432,181,370,219,212,343,309,244
Iso_3_1787,47,82,103,19,43,175,114,58,31,55
Iso_3_1788,417,172,228,597,130,310,142,377,548,171
Iso_3_1789,37,91,41,74,40,6,44,19,26,50
Iso_3_1790,13,12,12,9,10,18,15,12,15,8
Iso_3_1791,2,3,4,1,0,0,0,1,2,0
Iso_3_1792,412,299,224,286,499,358,227,353,376,397
Iso_3_1793,425,302,340,299,298,221,333,277,285,366
Iso_3_1794,1,0,1,1,0,1,0,1,3,2
Iso_3_1795,797,509,762,944,661,603,718,1058,963,785
Iso_3_1796,297,405,305,313,343,274,362,314,398,436
Iso_3_1797,190,44,146,151,164,256,178,90,88,238
Iso_3_1798,120,171,97,149,84,164,136,72,85,111
Iso_3_1799,1,1,0,3,0,0,0,1,3,3
Iso_3_1800,7,8,11,3,11,12,8,17,6,14
Iso_3_1801,16,23,11,16,25,21,17,19,11,29
Iso_3_1802,94,40,76,40,79,57,71,45,114,101
Iso_3_1803,67,35,23,32,32,37,78,18,32,25
Iso_3_1804,353,257,149,251,161,213,226,261,259,217
Iso_3_1805,13,31,7,36,15,18,11,12,16,20
Iso_3_1806,128,47,71,130,39,78,89,143,80,131
Iso_3_1807,127,203,501,470,280,771,153,302,423,49
Iso_3_1808,90,81,97,59,70,67,53,63,64,70
Iso_3_1809,8,3,9,25,10,1,6,7,18,10
Iso_3_1810,44,28,28,44,31,56,21,39,37,42
Iso_3_1811,87,214,780,451,400,846,437,96,357,522
Iso_3_1812,2,5,2,9,6,0,0,3,2,7
Iso_3_1813,68,54,190,95,73,245,22,86,33,146
Iso_3_1814,323,412,246,355,386,398,347,570,720,302
Iso_3_1815,5,4,12,3,6,3,3,13,1,1
Iso_3_1816,22,18,9,11,17,21,23,15,19,17
Iso_3_1817,28,43,74,48,29,50,53,63,40,62
Iso_3_1818,99,92,136,39,62,77,86,81,72,134
Iso_3_1819,319,291,324,244,341,242,356,322,366,287
Iso_3_1820,1661,776,1280,1485,848,1887,1728,1747,1065,1468
Iso_3_1821,522,482,469,492,375,400,411,507,596,412
Iso_3_1822,41,52,62,28,39,32,29,36,36,38
Iso_3_1823,59,62,66,62,53,46,33,53,67,41
Iso_3_1824,51,64,45,55,30,52,35,127,13,35
Iso_3_1825,69,178,73,191,88,88,68,77,83,97
Iso_3_1826,79,170,150,131,32,21,97,86,157,150
Iso_3_1827,218,211,56,192,168,139,358,55,179,39
Iso_3_1828,79,50,89,59,75,53,57,84,48,67
Iso_3_1829,61,56,54,61,61,53,59,57,41,62
Iso_3_1830,154,124,147,73,21,165,146,156,342,123
Iso_3_1831,372,394,415,422,475,667,191,403,602,284
Iso_3_1832,2,1,0,1,0,0,0,0,1,0
Iso_3_1833,50,30,45,31,43,74,50,77,65,64
Iso_3_1834,71,53,46,83,105,51,70,99,49,77
Iso_3_1835,307,189,180,221,161,215,372,265,358,262
Iso_3_1836,6,11,4,16,5,22,10,19,11,15
Iso_3_1837,488,774,412,615,789,708,637,711,668,729
Iso_3_1838,487,195,225,260,385,197,366,428,280,239
Iso_3_1839,21,68,10,41,26,12,31,40,130,26
Iso_3_1840,12,19,5,18,4,19,17,2,8,2
Iso_3_1841,347,488,320,362,600,494,479,465,586,440
Iso_3_1842,470,594,692,344,450,712,337,675,617,480
Iso_3_1843,34,74,27,10,28,85,71,36,27,40
Iso_3_1844,977,671,742,382,513,763,529,555,1297,923
Iso_3_1845,299,367,403,456,395,261,399,302,343,258
Iso_3_1846,27,41,286,182,139,182,23,319,162,163
Iso_3_1847,41,14,45,22,86,25,16,32,24,15
Iso_3_1848,25,9,9,6,23,4,10,22,17,5
Iso_3_1849,1009,1030,377,866,171,495,346,432,634,492
Iso_3_1850,102,75,104,93,84,73,37,77,110,91
Iso_3_1851,3,5,0,5,2,8,0,3,4,4
Iso_3_1852,78,67,85,80,57,42,60,68,32,47
Iso_3_1853,317,227,357,321,332,256,338,316,298,288
Iso_3_1854,31,40,16,19,17,38,85,37,7,153
Iso_3_1855,48,39,58,51,66,86,79,49,56,53
Iso_3_1856,859,685,597,447,588,968,516,748,658,740
Iso_3_1857,74,32,49,24,23,34,55,23,40,36
Iso_3_1858,4,1,8,3,8,6,1,3,3,2
Iso_3_1859,9,2,9,5,5,3,4,7,1,0
Iso_3_1860,339,255,301,300,311,352,277,338,345,270
Iso_3_1861,14,8,9,15,4,10,7,12,16,17
Iso_3_1862,55,89,39,73,71,62,50,54,59,60
Iso_3_1863,954,714,859,929,1114,1187,590,1491,447,1042
Iso_3_1864,12,15,19,24,16,19,11,15,22,33
Iso_3_1865,141,228,173,177,230,169,120,155,163,298
Iso_3_1866,287,343,426,251,389,330,455,344,305,355
Iso_3_1867,336,475,598,513,417,464,568,342,386,364
Iso_3_1868,392,477,434,399,357,448,523,447,385,400
Iso_3_1869,6,35,10,28,14,30,9,29,9,17
Iso_3_1870,64,89,271,94,48,403,31,259,40,20
Iso_3_1871,3345,3357,2583,2549,2325,3548,2895,3145,3534,3015
Iso_3_1872,59,77,57,98,40,61,85,53,74,63
Iso_3_1873,185,135,212,239,171,149,168,201,201,209
Iso_3_1874,6,10,1,2,30,9,11,12,7,7
Iso_3_1875,46,14,57,72,22,4,152,17,64,72
Iso_3_1876,244,576,459,277,285,627,458,477,617,359
Iso_3_1877,244,383,465,364,595,278,484,333,238,643
Iso_3_1878,147,103,175,149,152,113,118,148,102,153
Iso_3_1879,52,62,40,49,43,64,73,79,31,79
Iso_3_1880,102,136,202,190,107,205,144,159,90,123
Iso_3_1881,159,70,132,97,102,129,66,78,110,123
Iso_3_1882,92,455,486,482,261,70,213,83,295,309
Iso_3_1883,33,30,60,4,22,25,30,7,52,64
Iso_3_1884,14,3,5,7,7,7,9,4,7,10
Iso_3_1885,798,398,268,859,194,1073,477,781,289,370
Iso_3_1886,710,447,266,1039,412,520,419,174,476,324
Iso_3_1887,68,57,60,56,48,45,56,63,76,67
Iso_3_1888,12,6,8,10,17,11,12,14,13,9
Iso_3_1889,28,7,28,28,49,100,49,41,57,61
Iso_3_1890,236,125,232,31,154,140,167,89,106,168
Iso_3_1891,4,8,1,0,3,2,14,23,27,6
Iso_3_1892,715,1201,1270,609,992,1039,758,974,926,955
Iso_3_1893,110,67,96,113,186,78,273,170,135,151
Iso_3_1894,36,21,19,35,35,19,6,22,33,25
Iso_3_1895,2,3,2,5,1,4,2,3,1,1
Iso_3_1896,159,95,133,187,96,87,134,80,234,221
Iso_3_1897,29,20,26,21,22,25,13,19,24,15
Iso_3_1898,25,19,24,31,24,28,19,25,27,32
Iso_3_1899,24,23,54,38,35,74,16,52,33,10
Iso_3_1900,53,11,16,5,10,40,25,20,17,18
Iso_3_1901,155,260,251,271,333,361,307,374,114,483
Iso_3_1902,45,44,48,19,17,10,5,3,34,64
Iso_3_1903,221,163,233,229,263,431,114,322,196,185
Iso_3_1904,797,387,269,469,312,590,451,610,414,518
Iso_3_1905,8,1,7,10,5,2,4,14,2,4
Iso_3_1906,65,112,137,25,43,116,92,119,107,238
Iso_3_1907,439,502,804,793,876,1076,573,774,778,988
Iso_3_1908,26,37,25,63,70,78,34,57,67,104
Iso_3_1909,3,1,2,8,4,5,13,11,3,8
Iso_3_1910,144,124,124,72,65,93,179,119,99,164
Iso_3_1911,62,190,110,103,137,163,19,104,67,105
Iso_3_1912,115,127,69,53,93,102,21,128,84,152
Iso_3_1913,25,1,14,5,45,14,3,0,14,99
Iso_3_1914,58,44,44,62,77,48,67,65,44,61
Iso_3_1915,23,23,32,22,31,19,25,21,21,27
Iso_3_1916,13,1,5,0,5,2,1,4,6,2
Iso_3_1917,7,0,8,3,3,4,9,2,1,2
Iso_3_1918,113,136,110,207,42,84,92,135,119,78
Iso_3_1919,87,85,109,100,180,107,115,92,153,96
Iso_3_1920,428,235,401,353,420,366,360,394,378,351
Iso_3_1921,19,288,17,20,28,38,60,80,136,77
Iso_3_1922,38,55,63,60,30,70,40,70,53,28
Iso_3_1923,65,76,61,48,69,66,74,57,55,79
Iso_3_1924,256,307,212,156,290,204,214,206,224,201
Iso_3_1925,16,25,25,30,28,23,21,17,30,22
Iso_3_1926,722,770,804,615,732,769,617,615,478,471
Iso_3_1927,572,541,511,647,362,522,806,534,576,663
Iso_3_1928,196,332,518,249,410,287,439,389,555,447
Iso_3_1929,275,214,172,192,258,123,202,224,320,105
Iso_3_1930,201,241,132,117,87,147,154,183,89,116
Iso_3_1931,19,9,12,18,3,3,4,5,5,6
Iso_3_1932,403,322,227,428,471,470,313,349,362,628
Iso_3_1933,84,403,129,159,239,186,220,273,342,352
Iso_3_1934,3,2,6,10,3,2,3,4,4,0
Iso_3_1935,278,446,393,290,300,384,334,292,271,333
Iso_3_1936,459,688,256,355,326,317,196,228,708,330
Iso_3_1937,6,1,3,11,1,2,15,7,21,8
Iso_3_1938,78,52,61,41,44,41,23,84,48,38
Iso_3_1939,108,113,122,132,40,46,78,98,88,40
Iso_3_1940,182,71,201,75,189,132,91,308,219,240
Iso_3_1941,20,45,72,31,16,48,22,34,31,26
Iso_3_1942,43,56,31,81,27,46,77,53,36,39
Iso_3_1943,879,679,918,790,620,629,714,583,560,599
Iso_3_1944,5,2,3,1,13,3,5,5,4,3
Iso_3_1945,14,19,16,14,36,16,42,16,11,15
Iso_3_1946,41,30,8,18,35,13,11,34,29,14
Iso_3_1947,17,22,44,15,62,27,14,15,17,30
Iso_3_1948,629,497,449,475,448,439,393,417,305,438
Iso_3_1949,346,343,268,451,256,314,162,114,255,261
Iso_3_1950,282,290,233,218,445,314,417,415,305,205
Iso_3_1951,124,184,242,173,214,187,145,85,249,173
Iso_3_1952,562,551,693,492,614,1033,554,645,870,704
Iso_3_1953,6,34,22,25,12,33,42,30,31,15
Iso_3_1954,990,1119,1621,582,1410,807,850,958,1405,1388
Iso_3_1955,2411,2048,3277,2668,2273,2496,3392,3195,3509,3565
Iso_3_1956,9,22,14,52,108,10,29,94,107,24
Iso_3_1957,605,581,422,728,524,416,566,460,656,508
Iso_3_1958,13,2,6,11,15,7,21,11,8,12
Iso_3_1959,3,0,1,2,0,1,0,1,0,0
Iso_3_1960,86,61,121,95,237,174,140,140,83,122
Iso_3_1961,193,151,105,191,212,153,125,101,139,125
Iso_3_1962,0,1,1,0,1,1,0,0,0,1
Iso_3_1963,5,9,6,2,3,1,1,3,6,8
Iso_3_1964,48,29,90,156,42,72,115,39,105,52
Iso_3_1965,41,23,30,27,62,12,65,27,57,61
Iso_3_1966,762,420,335,391,558,480,480,717,443,544
Iso_3_1967,35,23,39,49,40,51,46,50,45,66
Iso_3_1968,54,57,38,78,31,46,60,53,46,44
Iso_3_1969,56,66,65,66,50,70,55,51,74,50
Iso_3_1970,111,177,153,178,129,269,296,161,200,181
Iso_3_1971,710,792,585,648,507,905,1003,1163,888,1366
Iso_3_1972,48,38,90,91,98,50,63,72,64,22
Iso_3_1973,568,724,619,494,628,645,598,820,738,552
Iso_3_1974,3,5,14,8,4,16,2,6,31,15
Iso_3_1975,94,158,141,177,127,201,125,160,206,144
Iso_3_1976,431,310,288,583,276,203,244,170,541,190
Iso_3_1977,1920,1791,2637,1862,2397,1714,1837,1291,2403,2187
Iso_3_1978,72,118,110,124,68,78,81,119,53,126
Iso_3_1979,10,7,30,27,9,31,0,11,15,12
Iso_3_1980,29,27,32,38,29,40,37,50,24,48
Iso_3_1981,305,413,414,201,608,222,308,349,301,393
Iso_3_1982,204,314,333,192,263,276,228,159,275,251
Iso_3_1983,0,1,1,1,2,1,0,0,0,0
Iso_3_1984,1,2,4,4,8,0,3,6,2,1
Iso_3_1985,273,281,232,241,169,262,285,253,138,197
Iso_3_1986,231,133,124,79,157,255,142,225,109,194
Iso_3_1987,3,8,3,4,0,5,6,2,6,8
Iso_3_1988,1317,537,968,464,508,466,654,1239,1187,475
Iso_3_1989,351,67,63,87,50,187,151,91,97,189
Iso_3_1990,281,87,151,326,232,119,163,271,242,458
Iso_3_1991,3,4,6,6,3,4,5,6,7,2
Iso_3_1992,113,155,179,312,399,304,337,228,211,216
Iso_3_1993,85,53,63,89,88,76,67,69,47,75
Iso_3_1994,572,304,162,285,275,524,239,295,588,179
Iso_3_1995,499,502,328,540,476,413,578,415,488,290
Iso_3_1996,624,193,101,33,96,53,9,114,49,23
Iso_3_1997,307,282,180,240,540,66,129,218,443,206
Iso_3_1998,222,174,175,112,176,160,195,191,173,246
Iso_3_1999,159,576,400,743,468,242,491,198,339,279
Iso_3_2000,19,21,19,37,14,20,23,28,20,16
Iso_3_2001,473,784,586,605,948,803,530,1126,526,529
Iso_3_2002,2,12,1,6,4,8,1,6,1,14
Iso_3_2003,35,75,138,133,47,156,40,89,58,24
Iso_3_2004,1,4,10,2,7,3,2,10,2,5
Iso_3_2005,13,129,161,203,285,72,46,194,125,89
Iso_3_2006,968,717,395,441,579,741,938,1109,728,804
Iso_3_2007,275,193,381,287,433,258,214,281,397,338
Iso_3_2008,135,275,139,103,175,194,119,146,142,134
Iso_3_2009,4,4,7,4,3,4,6,8,3,6
Iso_3_2010,14,215,91,256,181,70,414,83,103,147
Iso_3_2011,288,147,85,532,142,473,16,178,240,217
Iso_3_2012,115,120,113,321,68,66,185,93,81,97
Iso_3_2013,44,102,58,97,24,16,57,73,30,9
Iso_3_2014,1,1,1,6,0,4,0,4,2,3
Iso_3_2015,39,204,82,398,265,19,163,326,431,423
Iso_3_2016,288,339,239,210,468,320,304,472,190,263
Iso_3_2017,26,14,19,30,30,29,54,55,33,61
Iso_3_2018,377,381,429,705,434,595,361,397,450,424
Iso_3_2019,81,27,56,93,42,51,69,73,44,74
Iso_3_2020,709,759,561,858,813,668,532,730,637,656
Iso_3_2021,401,438,533,518,317,375,310,452,617,566
Iso_3_2022,4,2,1,9,4,5,9,4,2,8
Iso_3_2023,1,0,0,3,1,1,1,1,0,0
Iso_3_2024,36,104,22,75,32,40,155,20,86,86
Iso_3_2025,41,32,81,37,37,59,155,68,102,79
Iso_3_2026,29,66,22,35,23,33,35,28,19,73
Iso_3_2027,10,8,10,9,5,16,19,9,6,7
Iso_3_2028,81,30,50,52,45,37,11,30,54,26
Iso_3_2029,416,473,327,292,340,235,456,145,525,428
Iso_3_2030,193,69,240,26,134,109,74,110,94,107
Iso_3_2031,41,40,60,41,56,51,54,23,89,49
Iso_3_2032,292,421,1259,60,510,617,530,382,503,330
Iso_3_2033,26,19,36,25,31,35,34,36,30,35
Iso_3_2034,368,339,373,275,398,284,375,273,401,461
Iso_3_2035,95,104,36,59,26,91,32,93,41,123
Iso_3_2036,7,9,8,11,14,4,15,7,17,9
Iso_3_2037,35,51,11,17,27,32,24,29,78,22
Iso_3_2038,1576,2166,1866,2518,1252,2394,1850,1515,1218,1433
Iso_3_2039,1,13,38,23,29,8,26,20,17,15
Iso_3_2040,763,543,834,619,723,544,752,565,635,487
Iso_3_2041,116,81,56,84,108,71,76,65,56,152
Iso_3_2042,167,128,193,276,163,214,177,309,257,185
Iso_3_2043,150,161,133,141,131,123,119,150,148,130
Iso_3_2044,1,0,0,1,0,0,0,0,1,0
Iso_3_2045,0,10,21,77,2,4,35,13,50,8
Iso_3_2046,5,4,7,10,0,4,1,29,4,7
Iso_3_2047,189,256,480,434,213,234,324,372,313,331
Iso_3_2048,16,6,23,12,17,8,19,9,7,9
Iso_3_2049,61,74,91,84,51,65,89,56,78,61
Iso_3_2050,234,252,264,323,502,289,352,335,240,383
Iso_3_2051,627,540,385,188,588,378,415,415,413,408
Iso_3_2052,597,68,232,128,68,70,309,249,233,109
Iso_3_2053,7,11,19,16,15,7,12,17,13,6
Iso_3_2054,288,404,324,467,440,477,463,280,365,366
Iso_3_2055,4,2,6,3,2,2,10,2,4,3
Iso_3_2056,154,168,25,130,152,106,63,43,482,66
Iso_3_2057,11,3,9,11,12,11,14,13,7,10
Iso_3_2058,26,65,26,9,18,17,124,34,9,14
Iso_3_2059,26,98,182,67,11,12,99,145,199,127
Iso_3_2060,24,106,105,221,71,68,326,100,49,79
Iso_3_2061,16,5,31,23,11,35,47,16,44,0
Iso_3_2062,84,92,39,53,57,83,91,93,71,74
Iso_3_2063,159,67,155,207,105,81,230,120,144,185
Iso_3_2064,5,3,2,5,6,5,4,10,3,3
Iso_3_2065,215,300,176,234,248,253,242,185,125,227
Iso_3_2066,90,42,68,82,8,67,58,10,91,117
Iso_3_2067,359,253,236,343,217,273,247,316,260,237
Iso_3_2068,1,2,0,0,3,2,0,0,3,3
Iso_3_2069,444,473,349,459,572,424,528,357,470,384
Iso_3_2070,75,100,70,58,41,86,80,60,80,83
Iso_3_2071,25,14,17,13,10,12,9,2,8,10
Iso_3_2072,86,131,111,72,76,63,54,108,83,143
Iso_3_2073,4,6,5,3,7,3,3,4,6,4
